,Average Eff PSF,Average Eff. Rental,Average Face PSF,Average Face Rental,Average Govt Rates PSF/ Mth,Average Govt Rent PSF/ Mth,Average Govt. Rates/ Mth,Average Govt. Rent/ Mth,Average MFA,Average Net PSF,Average Net Rental,Count,Label,Trade Name,Unit
0,53.94333333,22602.25667,54.59333333,22874.60667,15.31777778,9.192222222,6417.556667,3850.531111,419,54.89444444,23000.77222,1,0,Candy AlicXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 01
1,53.94333333,22602.25667,54.59333333,22874.60667,15.31777778,9.192222222,6417.556667,3850.531111,419,54.89444444,23000.77222,1,0,Midori HouXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 01
2,53.94333333,22602.25667,54.59333333,22874.60667,15.31777778,9.192222222,6417.556667,3850.531111,419,54.89444444,23000.77222,4,1,Pacific BoXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 01
3,26.665625,36825.22813,26.91,37162.71,21.1575,12.695,29221.545,17532.9575,1381,26.91,37162.71,6,1,Pacific BoXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 03A
4,27.08647059,50407.92176,27.49823529,51174.21588,14.88764706,8.89,27704.63471,16542.00765,1861,27.43294118,51052.70353,6,1,Pacific BoXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 03B
5,27.48916667,94837.625,27.68,95496,10.92333333,6.556666667,37694.57,22616.78333,3450,27.68,95496,6,1,Pacific BoXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 05B
6,27.84,150837.12,28.01928571,151808.49,1.245,0.6857142857,6733.825,3725.620714,5418,28.08,152137.44,6,1,Pacific BoXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 46
7,28.814375,21149.75125,28.93625,21239.2075,38.854375,23.283125,28517.82625,17090.98,734,28.9575,21254.805,6,1,Pacific BoXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 47
8,24.67714286,806720.4771,24.82357143,811507.3736,1.012857143,0.5914285714,33099.755,19385.81429,32691,24.86785714,812955.1179,6,1,Pacific BoXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 48
9,53.94333333,22602.25667,54.59333333,22874.60667,15.31777778,9.192222222,6417.556667,3850.531111,419,54.89444444,23000.77222,2,1,Star TalenXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 01
10,53.94333333,22602.25667,54.59333333,22874.60667,15.31777778,9.192222222,6417.556667,3850.531111,419,54.89444444,23000.77222,1,0,The SkyXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 01
11,9.54,604415.055,8.91,564421.845,0.435,0.245,27506.17,15516.045,63489.5,9.79,620244.305,1,0,The SkyXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F CINEMA
12,5.473333333,15982.13333,5.636666667,16459.06667,1.656666667,0.33,4837.86,967.5733333,2920,5.656666667,16517.46667,3,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 03
13,13.04,63974.24,13.53,66378.18,2.96,0.59,14513.58,2902.72,4906,13.59,66672.54,1,0,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 05B & 47A
14,13.04,43670.96,13.53,45311.97,4.33,0.87,14513.58,2902.72,3349,13.59,45512.91,1,0,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 47B & 47C
15,13.04,133933.84,13.53,138966.63,1.41,0.28,14513.58,2902.72,10271,13.59,139582.89,1,0,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 48B & 48C
16,23.224,40920.688,23.49,41389.38,7.234,1.164,12740.744,2052.346,1762,23.414,41255.468,2,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G K01
17,21.53,31885.93,21.798,32282.838,8.508,1.342,12602.472,1985.184,1481,21.72,32167.32,2,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G K02
18,20.506,34019.454,20.78,34474.02,7.658,1.224,12703.212,2027.062,1659,20.696,34334.664,2,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G K03
19,20.4325,52552.39,20.8825,53709.79,6.1025,0.99,15697.5325,2549.3825,2572,20.89,53729.08,2,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G K05
20,20.07333333,57088.56,20.38,57960.72,7.096666667,1.04,20181.07333,2949.793333,2844,20.39,57989.16,2,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G K06
21,20.1275,55169.4775,20.5975,56457.7475,5.7425,0.9375,15740.7425,2575.3075,2741,20.605,56478.305,2,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G K07
22,18.39166667,46402.175,18.66333333,47087.59,4.456666667,0.8133333333,11243.62333,2058.435,2523,18.59666667,46919.39,2,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G K08
23,18.91111111,31827.4,19.01333333,31999.44,4.684444444,0.9933333333,7879.288889,1674.624444,1683,19.01666667,32005.05,2,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G K09
24,20.515,34834.47,20.8825,35458.485,9.1475,1.3525,15532.1025,2291.605,1698,20.7525,35237.745,2,1,Food RepubXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G K10
25,26.665625,36825.22813,26.91,37162.71,21.1575,12.695,29221.545,17532.9575,1381,26.91,37162.71,4,1,Pretty HouXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 03A
26,27.08647059,50407.92176,27.49823529,51174.21588,14.88764706,8.89,27704.63471,16542.00765,1861,27.43294118,51052.70353,4,1,Pretty HouXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 03B
27,31.32833333,51817.06333,30.875,51067.25,3.683333333,2.138333333,6093.003333,3533.991667,1654,32.40666667,53600.62667,1,0,Pretty HouXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G 26-27
28,46.7575,78889.8325,45.6425,77151.6675,1.8875,1.0375,3159.6225,1725.4225,1715.25,47.65,80279.455,1,0,Pretty HouXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G 55
29,42.69,106639.62,42.4175,105958.915,1.8675,0.995,4670.0475,2479.69,2498,42.9925,107395.265,1,0,Pretty HouXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 70-71
30,26.665625,36825.22813,26.91,37162.71,21.1575,12.695,29221.545,17532.9575,1381,26.91,37162.71,6,1,Top GallanXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 03A
31,27.08647059,50407.92176,27.49823529,51174.21588,14.88764706,8.89,27704.63471,16542.00765,1861,27.43294118,51052.70353,6,1,Top GallanXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 03B
32,27.48916667,94837.625,27.68,95496,10.92333333,6.556666667,37694.57,22616.78333,3450,27.68,95496,6,1,Top GallanXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 05B
33,27.84,150837.12,28.01928571,151808.49,1.245,0.6857142857,6733.825,3725.620714,5418,28.08,152137.44,6,1,Top GallanXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 46
34,28.814375,21149.75125,28.93625,21239.2075,38.854375,23.283125,28517.82625,17090.98,734,28.9575,21254.805,6,1,Top GallanXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 47
